SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Effective Date,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,Price List URL,Promo List URL
LVP-FAWK-0060,"NAF 9mm Aquaplus Platinum Vinyl 7.1"" — Soho",NAF,FLOORS AT WORK,,5b89c9b7-cb09-4af9-8daa-fe9959f1e336,LVP71VNYSOHOPLAT,Aquaplus Platinum,Flooring,LVP,SPC core,,,,,7.1,,9,,,,,,Click,Float,,TRUE,IXPE,,,,,,2.49,3.49,,,1.79,2026-09-30,,2026-07-09,Agent,11.94,,65,,,TRUE,TRUE,,,,,,,,,recN6LKlXhioqDuGl,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0008,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Millstone",NAF,FLOORS AT WORK,,98369d2a-25c4-40d2-b1eb-5e0ce8c580a0,ENG65HICMILLSTONE,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,Distressed Grade,,6.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.69,4.69,,,3.29,2026-09-30,,2026-09-19,,19.18,,48,,Clearance,TRUE,,,,,,,,,,recOg1lXUDgp2zIvs,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0012,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Earl Grey",NAF,FLOORS AT WORK,,a439d996-06b8-45cb-bdaa-3200bf596cee,ENG75HICEARLGREY,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,7.5,,18,,2,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.49,5.49,,,3.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,COMING SOON — not yet in stock.,,recpGz9ljZ5nlrjMw,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0019,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Saddle Brown",NAF,FLOORS AT WORK,,089702d7-935f-43e8-be72-7f9387609d6c,ENG75HICSADDLEBROWN,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,7.5,,18,,2,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.49,5.49,,,3.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,COMING SOON — not yet in stock.,,recz09T4apNkYG55I,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0015,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Modern Pewter",NAF,FLOORS AT WORK,,7d8fe99c-988c-406a-825b-a1218f6a3eed,ENG75HICMODERNPEWTER,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,7.5,,18,,2,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.49,5.49,,,3.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,COMING SOON — not yet in stock.,,rec4lgN8jVFfvFd2G,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0010,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Aged Barrel",NAF,FLOORS AT WORK,,121e58d7-9221-4d8a-949f-5db0d12fa5e2,ENG75HICAGEDBARREL,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,7.5,,18,,2,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.49,5.49,,,3.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,COMING SOON — not yet in stock.,,recXdJPAW1ZvFe1z8,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0014,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Macadamia",NAF,FLOORS AT WORK,,d2665407-48df-491e-b1c0-93b55545a875,ENG75HICMACADAMIA,Hickory Engineered,Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,7.5,,18,,2,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.49,5.49,,,3.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,COMING SOON — not yet in stock.,,rec2a33lGk8V2qldp,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0061,"NAF Engineered European White Oak Designer 7.5"" (Wirebrushed, Select & Better) — Alabaster Oak",NAF,FLOORS AT WORK,,a5449104-70e1-4ab9-a446-610d846e44ac,ENG75OAKALABASTEROAKEURDES,Designer,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,,18,,3,,,Wire brushed,T&G,Nail / staple,,,,,,,,,6.99,7.99,,,5.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,"COMING SOON — not yet in stock. European White Oak, Select & Better grade, 3mm veneer.",,recBLYMYoqzm6dgS4,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0064,"NAF Engineered European White Oak Designer 7.5"" (Wirebrushed, Select & Better) — Soft Gold",NAF,FLOORS AT WORK,,3bd1f806-3325-4c49-b76e-a63ab4963b9e,ENG75OAKSOFTGOLDEURDES,Designer,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select & Better,,7.5,,18,,3,,,Wire brushed,T&G,Nail / staple,,,,,,,,,6.99,7.99,,,5.99,2026-09-30,,2026-07-09,Agent,23.31,,40,,,TRUE,,,,,,,,"COMING SOON — not yet in stock. European White Oak, Select & Better grade, 3mm veneer.",,rec687kXkgc9oR4u4,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0059,"NAF Engineered European White Oak Designer 5"" (Wirebrushed, Select) — Storm Oak",NAF,FLOORS AT WORK,,a57fb4c2-0891-4286-b273-622694d6cfae,ENG5OAKSTORMOAKEURDES,Designer,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,5,,18,,3,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.69,5.69,,,3.99,2026-09-30,,2026-07-09,Agent,20.77,,48,,,TRUE,,,,,,,,"COMING SOON — not yet in stock. European White Oak, Select grade, 3mm veneer.",,rectjqIdLL49QiZmW,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
