id,handle,sku,c4,c5,c6,name,description,product_category,variant_option_one_name,variant_option_one_value,vo2n,vo2v,vo3n,vo3v,tags,supply_price,retail_price,loy1,loy2,loy3,loy4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Titan Flooring,inv,reorder,restock
3b57cf5f-4cce-40ba-9b15-286df4b001ba,IMPVINVENTURA7FILLMORE,LVP-IMPR-37052,,,,"IMPVIN - VENTURA COLLECTION (FILLMORE) | #37052 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
1bfb888a-7e27-43bb-b54c-0a081caca794,IMPVINVENTURA7STENDALE,LVP-IMPR-37053,,,,"IMPVIN - VENTURA COLLECTION (STENDALE) | #37053 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
70c5f55c-d5c3-4592-b9ec-9d6c11896a92,IMPVINVENTURA7CALEDONIA,LVP-IMPR-37054,,,,"IMPVIN - VENTURA COLLECTION (CALEDONIA) | #37054 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
b01845ab-e3fb-48be-891c-88de7bbe141e,IMPVINVENTURA7LOWELL,LVP-IMPR-37055,,,,"IMPVIN - VENTURA COLLECTION (LOWELL) | #37055 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
a061b3e2-070e-48e5-a65e-ad1c8b32832a,IMPVINVENTURA7MONACO,LVP-IMPR-37056,,,,"IMPVIN - VENTURA COLLECTION (MONACO) | #37056 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
6c717962-cadd-4b97-988e-f19e4b59bac1,IMPVINVENTURA7CORAL,LVP-IMPR-37057,,,,"IMPVIN - VENTURA COLLECTION (CORAL) | #37057 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
d9456941-c28e-48f5-8b74-942a34b6232c,impvin---essex-collection---55-mm-spc-viinyl-umber---4100-----7-x-60--15-eva---245sfb,4100,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (UMBER)  | #4100 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
36b3173b-b09e-4824-afec-109facd70dcb,impvin---essex-collection---55-mm-spc-viinyl-squash---4101-----7-x-60--15-eva---245sfb,4101,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (SQUASH)  | #4101 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
7a6a5058-805d-4c70-8e0a-60e85999807f,impvin---essex-collection---55-mm-spc-viinyl-boardwalk---4102-----7-x-60--15-eva---245sfb,4102,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (BOARDWALK)  | #4102 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
0297353d-2237-48b0-b02a-8dea854bdc8a,impvin---essex-collection---55-mm-spc-viinyl-poppy---4103-----7-x-60--15-eva---245sfb,4103,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (POPPY)  | #4103 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
